"","date","hits","keyword","geo","time","gprop","category"
"96",2011-12-01,72,"vegetarian","US","all","web",0
"97",2012-01-01,82,"vegetarian","US","all","web",0
"98",2012-02-01,77,"vegetarian","US","all","web",0
"99",2012-03-01,75,"vegetarian","US","all","web",0
"100",2012-04-01,73,"vegetarian","US","all","web",0
"101",2012-05-01,67,"vegetarian","US","all","web",0
"102",2012-06-01,68,"vegetarian","US","all","web",0
"103",2012-07-01,69,"vegetarian","US","all","web",0
"104",2012-08-01,66,"vegetarian","US","all","web",0
"105",2012-09-01,70,"vegetarian","US","all","web",0
"106",2012-10-01,67,"vegetarian","US","all","web",0
"107",2012-11-01,73,"vegetarian","US","all","web",0
"108",2012-12-01,68,"vegetarian","US","all","web",0
"109",2013-01-01,82,"vegetarian","US","all","web",0
"110",2013-02-01,77,"vegetarian","US","all","web",0
"111",2013-03-01,79,"vegetarian","US","all","web",0
"112",2013-04-01,68,"vegetarian","US","all","web",0
"113",2013-05-01,67,"vegetarian","US","all","web",0
"114",2013-06-01,66,"vegetarian","US","all","web",0
"115",2013-07-01,66,"vegetarian","US","all","web",0
"116",2013-08-01,65,"vegetarian","US","all","web",0
"117",2013-09-01,67,"vegetarian","US","all","web",0
"118",2013-10-01,70,"vegetarian","US","all","web",0
"119",2013-11-01,76,"vegetarian","US","all","web",0
"120",2013-12-01,70,"vegetarian","US","all","web",0
"121",2014-01-01,82,"vegetarian","US","all","web",0
"122",2014-02-01,74,"vegetarian","US","all","web",0
"123",2014-03-01,74,"vegetarian","US","all","web",0
"124",2014-04-01,68,"vegetarian","US","all","web",0
"125",2014-05-01,60,"vegetarian","US","all","web",0
"126",2014-06-01,62,"vegetarian","US","all","web",0
"127",2014-07-01,64,"vegetarian","US","all","web",0
"128",2014-08-01,62,"vegetarian","US","all","web",0
"129",2014-09-01,62,"vegetarian","US","all","web",0
"130",2014-10-01,64,"vegetarian","US","all","web",0
"131",2014-11-01,71,"vegetarian","US","all","web",0
"132",2014-12-01,63,"vegetarian","US","all","web",0
"133",2015-01-01,72,"vegetarian","US","all","web",0
"134",2015-02-01,63,"vegetarian","US","all","web",0
"135",2015-03-01,65,"vegetarian","US","all","web",0
"136",2015-04-01,59,"vegetarian","US","all","web",0
"137",2015-05-01,57,"vegetarian","US","all","web",0
"138",2015-06-01,60,"vegetarian","US","all","web",0
"139",2015-07-01,62,"vegetarian","US","all","web",0
"140",2015-08-01,63,"vegetarian","US","all","web",0
"141",2015-09-01,62,"vegetarian","US","all","web",0
"142",2015-10-01,67,"vegetarian","US","all","web",0
"143",2015-11-01,74,"vegetarian","US","all","web",0
"144",2015-12-01,71,"vegetarian","US","all","web",0
"145",2016-01-01,79,"vegetarian","US","all","web",0
"146",2016-02-01,74,"vegetarian","US","all","web",0
"147",2016-03-01,70,"vegetarian","US","all","web",0
"148",2016-04-01,68,"vegetarian","US","all","web",0
"149",2016-05-01,68,"vegetarian","US","all","web",0
"150",2016-06-01,66,"vegetarian","US","all","web",0
"151",2016-07-01,66,"vegetarian","US","all","web",0
"152",2016-08-01,62,"vegetarian","US","all","web",0
"153",2016-09-01,63,"vegetarian","US","all","web",0
"154",2016-10-01,66,"vegetarian","US","all","web",0
"155",2016-11-01,69,"vegetarian","US","all","web",0
"156",2016-12-01,72,"vegetarian","US","all","web",0
"157",2017-01-01,79,"vegetarian","US","all","web",0
"158",2017-02-01,72,"vegetarian","US","all","web",0
"159",2017-03-01,73,"vegetarian","US","all","web",0
"160",2017-04-01,72,"vegetarian","US","all","web",0
"161",2017-05-01,67,"vegetarian","US","all","web",0
"162",2017-06-01,69,"vegetarian","US","all","web",0
"163",2017-07-01,88,"vegetarian","US","all","web",0
"164",2017-08-01,82,"vegetarian","US","all","web",0
"165",2017-09-01,80,"vegetarian","US","all","web",0
"166",2017-10-01,81,"vegetarian","US","all","web",0
"167",2017-11-01,88,"vegetarian","US","all","web",0
"168",2017-12-01,85,"vegetarian","US","all","web",0
"169",2018-01-01,100,"vegetarian","US","all","web",0
"170",2018-02-01,88,"vegetarian","US","all","web",0
"171",2018-03-01,83,"vegetarian","US","all","web",0
"172",2018-04-01,80,"vegetarian","US","all","web",0
"173",2018-05-01,74,"vegetarian","US","all","web",0
"174",2018-06-01,75,"vegetarian","US","all","web",0
"175",2018-07-01,80,"vegetarian","US","all","web",0
"176",2018-08-01,72,"vegetarian","US","all","web",0
"177",2018-09-01,72,"vegetarian","US","all","web",0
"178",2018-10-01,75,"vegetarian","US","all","web",0
"179",2018-11-01,79,"vegetarian","US","all","web",0
"180",2018-12-01,79,"vegetarian","US","all","web",0
"181",2019-01-01,89,"vegetarian","US","all","web",0
"182",2019-02-01,79,"vegetarian","US","all","web",0
"183",2019-03-01,79,"vegetarian","US","all","web",0
"184",2019-04-01,75,"vegetarian","US","all","web",0
"185",2019-05-01,71,"vegetarian","US","all","web",0
"186",2019-06-01,74,"vegetarian","US","all","web",0
"187",2019-07-01,73,"vegetarian","US","all","web",0
"188",2019-08-01,72,"vegetarian","US","all","web",0
"189",2019-09-01,72,"vegetarian","US","all","web",0
"190",2019-10-01,79,"vegetarian","US","all","web",0
"191",2019-11-01,92,"vegetarian","US","all","web",0
"192",2019-12-01,84,"vegetarian","US","all","web",0
"193",2020-01-01,94,"vegetarian","US","all","web",0
"194",2020-02-01,83,"vegetarian","US","all","web",0
"195",2020-03-01,63,"vegetarian","US","all","web",0
"196",2020-04-01,66,"vegetarian","US","all","web",0
"197",2020-05-01,76,"vegetarian","US","all","web",0
